mode,B0 DaVinci,B0 trigger,B0 D0,B0 Mu,B0,B0 ISO,B DaVinci,B trigger,B D0,B Mu,B,B ISO
12573012,22108,5611,1873,1556,241,171,1800693,556988,216265,184522,179878,144726
11574021,980857,290577,126249,106479,98621,78371,1494663,429980,176287,148392,143705,51201
12773410,33552,8477,3308,2713,420,299,1992613,579932,241384,203937,197023,154158
12573001,1634,401,164,144,23,16,116712,32134,13776,12027,11741,9420
11574011,183520,48947,22950,20222,18717,14798,292013,75226,33327,29357,28659,11467
12773400,4837,1191,503,434,60,47,272906,71706,32283,28519,27760,21629
11874430,168606,49122,21738,18615,15142,10796,1437669,417136,174164,149599,146606,31418
11874440,1664,418,197,174,148,102,13787,3551,1637,1445,1411,380
12873450,250383,73517,32953,28417,24737,4564,1157887,337896,142784,123057,120342,57175
12873460,11747,3142,1518,1340,1164,256,56033,14637,6704,5945,5794,2808
12675011,5524,1528,669,578,104,15,212211,60618,25781,22302,21890,1521
11674401,4799,1357,589,516,77,46,175335,50278,21446,18529,18159,3560
12675402,93687,26864,12394,10821,9948,1891,146345,40721,17551,15278,14963,1735
11676012,96999,27927,12693,11007,9982,761,149135,41423,17625,15275,15026,864
12875440,8317,2264,977,836,144,36,209693,58721,25128,21831,21391,1542
13874020,28131,7922,3622,3097,2784,2162,141347,39881,16992,14589,14269,3100
13674000,45961,13160,6077,5240,4859,3839,71917,20019,8594,7394,7250,2651
11894600,192366,53467,24713,21180,18836,6506,527569,142024,63699,54964,53839,10008
12893600,76779,20864,10082,8746,7195,1160,578806,160842,71177,61084,59727,18037
11894200,15404,4223,1782,1551,1395,1089,42006,11071,4616,4057,3974,1432
12893610,6709,1690,732,644,452,148,125237,33553,13436,11817,11593,7581
11894610,376301,104229,48810,41782,38084,13604,583204,156564,69667,59706,58613,10887
12895400,116312,31834,15344,13289,11984,2238,181013,48137,21860,18853,18455,2076
11894210,37892,10237,4236,3692,3387,2457,56794,14874,5849,5083,5010,1804
12895000,48531,12572,5554,4909,4395,1373,75302,18929,7845,6931,6787,1319
