mode,run 2 (FullSim MD),B0 DaVinci,B0 trigger,B0 D0,B0 Mu,B0,B0 ISO,B DaVinci,B trigger,B D0,B Mu,B,B ISO
12573012,1808497,22108,5611,1902,1581,247,174,1800693,556988,218029,185986,181286,145727
11574021,1500395,980857,290577,127878,107816,99807,79196,1494663,429980,178590,150285,145513,52229
12773410,2000610,33552,8477,3382,2775,429,305,1992613,579932,244317,206335,199316,155779
12573001,117296,1634,401,169,147,23,16,116712,32134,13956,12168,11879,9512
11574011,293257,183520,48947,23319,20523,18977,14974,292013,75226,33912,29836,29120,11753
12773400,274172,4837,1191,519,448,61,48,272906,71706,32764,28920,28148,21900
11874430,1448012,168606,49122,22000,18813,15282,10882,1437669,417136,176408,151416,148376,31979
11874440,13897,1664,418,199,176,150,104,13787,3551,1660,1463,1429,392
12873450,1160695,250383,73517,33394,28778,25039,4652,1157887,337896,144509,124458,121711,57834
12873460,56126,11747,3142,1544,1363,1183,263,56033,14637,6818,6041,5886,2857
12675011,212474,5524,1528,676,584,107,15,212211,60618,26125,22573,22152,1572
11674401,176417,4799,1357,594,521,78,46,175335,50278,21674,18716,18344,3620
12675402,146287,93687,26864,12572,10971,10080,1938,146345,40721,17800,15484,15167,1790
11676012,149170,96999,27927,12868,11150,10104,784,149135,41423,17868,15474,15219,900
12875440,209776,8317,2264,990,846,145,37,209693,58721,25440,22078,21635,1593
13874020,141862,28131,7922,3676,3139,2818,2187,141347,39881,17230,14789,14467,3172
13674000,72087,45961,13160,6168,5318,4927,3886,71917,20019,8729,7506,7361,2716
11894600,533760,192366,53467,25076,21468,19063,6583,527569,142024,64627,55691,54561,10200
11894200,42460,15404,4223,1811,1573,1415,1105,42006,11071,4690,4119,4036,1464
12893600,586247,76779,20864,10231,8865,7286,1182,578806,160842,72128,61811,60443,18252
12893610,126004,6709,1690,747,657,458,150,125237,33553,13615,11966,11742,7669
11894610,589959,376301,104229,49473,42297,38527,13746,583204,156564,70652,60470,59370,11112
11894210,57109,37892,10237,4298,3740,3429,2483,56794,14874,5930,5146,5072,1837
12895400,182193,116312,31834,15575,13461,12133,2276,181013,48137,22195,19100,18699,2138
12895000,75451,48531,12572,5651,4993,4468,1400,75302,18929,7993,7059,6915,1362
